gene AvgCodingLen expr reptime hic constraint_score Expression_hub Regulator Genomic_abnormalities_CNV meEthylation
1-Dec 2.04846808510638 12.9910256412766 437.323085106383 22.223829787234 0.0778755348617021 0 0 0 0.9148
1-Mar 2.65529069767442 12.820828060814 476.312325581395 17.223488372093 0.345036605348837 0 0 0 0
1-Sep 1.85434444444444 13.0420005588333 419.026333333333 24.6295555555556 0.638351886322222 0 0 0 0.0339608
10-Mar 2.08019565217391 13.0011489463696 468.627391304348 22.6594565217391 0.967432520630435 0 0 0 0.340116
10-Sep 2.15412244897959 12.9903228577245 443.724489795918 17.7040816326531 0.53949673794898 0 0 0 0.393063
11-Mar 2.65529069767442 12.820828060814 476.312325581395 17.223488372093 0.345036605348837 0 0 0 0
11-Sep 1.91919318181818 13.1318826809091 374.693181818182 28.1363636363636 0.747624435556818 0 0 0 0.028849
12-Sep 1.5066 12.8061091577765 478.425882352941 15.7389411764706 -0.0624288018470588 0 0 0 0.842282
15-Sep 1.9490824742268 13.1569544385567 398.292371134021 24.4367010309278 0.985529522608247 0 0 0 0.0239686
2-Mar 1.57024210526316 13.4251099847368 372.347578947368 26.5447368421053 1.13932907044211 0 0 1 0.0227621
2-Sep 1.88101563421053 13.1987857529474 374.436736842105 22.2796842105263 1.04133598722105 0 0 0 0.0304819
3-Mar 2.20511956521739 13.0831030193913 391.810326086957 24.5323913043478 1.22318613965217 0 0 0 0.420968
3-Sep 2.27031182795699 12.903608713871 456.816129032258 19.8581720430108 0.856667752193548 0 0 0 0.254569
4-Mar 2.65529069767442 12.820828060814 476.312325581395 17.223488372093 0.345036605348837 0 0 0 0
4-Sep 1.83317204301075 12.7912990195269 468.929784946237 19.9933333333333 0.911500351849462 0 0 0 0.0781591
5-Mar 1.79857142857143 13.1694768736264 402.218351648352 26.1892307692308 1.20125479816484 0 0 0 0.0204186
6-Mar 1.88251578947368 13.0616524732632 395.219894736842 25.9911578947368 0.946601477410526 0 0 0 0.0244687
6-Sep 2.65529069767442 12.820828060814 476.312325581395 17.223488372093 0.345036605348837 0 0 0 0
7-Mar 1.75187096774194 13.2313529532258 364.934516129032 29.181935483871 0.808957728827957 0 0 0 0.0134789
7-Sep 1.69517525773196 13.2957634961856 383.276907216495 25.6477319587629 0.890721372701031 0 0 1 0.0174148
8-Mar 1.87912218351064 13.1810722990426 415.112872340426 20.0258510638298 1.00379680260638 0 0 0 0.0301898
8-Sep 2.65529069767442 12.820828060814 476.312325581395 17.223488372093 0.345036605348837 0 0 0 0
9-Mar 2.65529069767442 12.820828060814 476.312325581395 17.223488372093 0.345036605348837 0 0 0 0
9-Sep 1.718 12.923204488978 468.989010989011 18.9558241758242 0.700451340824176 0 0 0 0.286453
A1BG 1.528 14.29861364 406 -25 1.031430951 0 0 1 0.971318
A1CF 1.968 11.63628404 613 19 0.387458006 0 1 0 0.84276
A2BP1 2.30192 7.813591553 1138 -47 0.041263557 3 0 0 0.137479527692308
A2LD1 2.65529069767442 12.820828060814 476.312325581395 17.223488372093 0.345036605348837 0 0 0 0
A2M 4.605 12.76107495 364 17 0.516917311 0 0 0 0.804458
A2ML1 4.548 12.61238406 407 12 -0.791240083 0 0 0 0.898664
A3GALT2 1.048 13.14729814 435.97 37.25 1.963896714 6 0 0 0.190690837471264
A4GALT 1.067 13.60236437 168 72 1.124080685 0 0 0 0.243947
A4GNT 1.033 12.15507404 464 9 -0.37667929 0 0 0 0.862183
AAAS 1.721 14.34720295 166 58 -1.081480196 0 0 0 0.0544824
AACS 2.109 13.70421021 306 13 -0.478024626 0 0 0 0.0787881
AADAC 1.237 12.20841989 526 2 -0.521598364 0 0 0 0.923609
AADACL2 1.231 11.41892243 611 -5 -0.80130991 0 0 0 0.739605
AADACL3 1.244 11.88740889 454 23 -0.353485401 4 0 0 0.250994886153846
AADACL4 1.244 11.88740889 454 23 -1.97750787 4 0 0 0.248246556226415
AADAT 1.355 11.79744253 831 -13 2.694108521 0 0 0 0.0703667
AAED1 0.711 12.68304258 430 26 -1.010622579 4 0 0 0.233583087307692
AAGAB 0.998 12.65088346 320 45 -1.923382781 0 0 0 0.888101
AAK1 3.16 13.36838873 309 35 1.464329937 0 0 0 0.0282465
AAMDC 0.919 13.26686364 361 35 -0.96184916 4 0 0 0.135806871428571
AAMP 1.424 13.5016953 197 33 2.10150954 0 0 0 0.452971
AANAT 0.779 13.99968124 197 29 -0.77343637 0 0 0 0.916806
AAR2 1.385 14.06086716 449 44 0.306074073 8 0 0 0.249408694382022
AARD 0.478 13.11265844 346 16 0.762163006 8 0 0 0.186349779487179
AARS 3.007 14.10516668 139 42 -0.053733094 0 0 0 0.347774
AARS2 3.068 13.85208932 312 54 0.719383179 0 0 0 0
AARSD1 1.299 14.22567395 201 26 -0.386696702 0 0 0 0.891316
AASDH 3.405 13.36851226 594 5 -1.392917559 0 0 0 0.014275
AASDHPPT 0.96 11.36811932 753 -16 0.892072939 0 0 0 0.015536
AASS 2.896 10.96223225 988 -13 -0.208360566 0 0 1 0.884071
AATF 1.743 13.41273633 384 16 -0.428894146 23 1 0 0.0387398
